Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Test | Epoch 17.0 | Loss: 28.65, Accuracy (%): 80.96, Learning rate: 0.003, Hidden layer 1 spike counts: 524.73, Output layer spike counts: 150.72, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 771.98, Output layer weights norm: 119.63, Time (s): 2.46
Best accuracy: 80.96%, Networks save to: best_model
Train | Epoch 17.1 | Loss: 25.98, Accuracy (%): 83.75, Silent labels (%): 0.01, Time (s): 2.2
Train | Epoch 17.2 | Loss: 25.83, Accuracy (%): 83.85, Silent labels (%): 0.02, Time (s): 5.36
Train | Epoch 17.3 | Loss: 26.11, Accuracy (%): 83.37, Silent labels (%): 0.01, Time (s): 8.51
Train | Epoch 17.4 | Loss: 26.59, Accuracy (%): 83.15, Silent labels (%): 0.02, Time (s): 11.66
Train | Epoch 17.5 | Loss: 26.42, Accuracy (%): 83.18, Silent labels (%): 0.0, Time (s): 14.83
Train | Epoch 17.6 | Loss: 26.91, Accuracy (%): 82.73, Silent labels (%): 0.01, Time (s): 17.99
Train | Epoch 17.7 | Loss: 26.64, Accuracy (%): 83.14, Silent labels (%): 0.0, Time (s): 21.14
Train | Epoch 17.8 | Loss: 26.46, Accuracy (%): 83.4, Silent labels (%): 0.0, Time (s): 24.3
